0:00:02.127616698 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)2127610427, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)614, have-buffer-pts=(boolean)1, buffer-pts=(guint64)0, have-buffer-dts=(boolean)1, buffer-dts=(guint64)0, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)64;
0:00:08.896588323 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896567404, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896663905 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896658885, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896704140 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896700313, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896731882 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896728075, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896769462 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896765856, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896806732 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896802745, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896844212 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896840415, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896882083 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896878216, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896919573 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896915906, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.896944680 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896941023, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
